procedure_key,requested_analyte_name,proced_name,proced_abbrev,proced_desc,proced_code,source_system_key,source_system_name
137,"pH, H2O","pH, 1:1 Water",pHH2O,"CMS, SSIR No. 42, 1972, page 59",8C1a,9,Texas A&M University
137,"pH, H2O","pH, 1:1 Water",pHH2O,"CMS, SSIR No. 42, 1972, page 59",8C1a,25,University of Kentucky
137,"pH, H2O","pH, 1:1 Water",pHH2O,"CMS, SSIR No. 42, 1972, page 59",8C1a,20,University of California at Davis
137,"pH, H2O","pH, 1:1 Water",pHH2O,"CMS, SSIR No. 42, 1972, page 59",8C1a,2,NSSL CMS
137,"pH, H2O","pH, 1:1 Water",pHH2O,"CMS, SSIR No. 42, 1972, page 59",8C1a,17,University of Missouri
137,"pH, H2O","pH, 1:1 Water",pHH2O,"CMS, SSIR No. 42, 1972, page 59",8C1a,10,University of Illinois
139,"pH, CaCl2","pH,  1:2 0.01M CaCl2",pHcacl,"CMS, SSIR No. 42, 1972, page 60",8C1e,2,NSSL CMS
139,"pH, CaCl2","pH,  1:2 0.01M CaCl2",pHcacl,"CMS, SSIR No. 42, 1972, page 60",8C1e,20,University of California at Davis
139,"pH, CaCl2","pH,  1:2 0.01M CaCl2",pHcacl,"CMS, SSIR No. 42, 1972, page 60",8C1e,25,University of Kentucky
139,"pH, CaCl2","pH,  1:2 0.01M CaCl2",pHcacl,"CMS, SSIR No. 42, 1972, page 60",8C1e,33,The Pennsylvania State University
139,"pH, CaCl2","pH,  1:2 0.01M CaCl2",pHcacl,"CMS, SSIR No. 42, 1972, page 60",8C1e,17,University of Missouri
139,"pH, CaCl2","pH,  1:2 0.01M CaCl2",pHcacl,"CMS, SSIR No. 42, 1972, page 60",8C1e,24,Kansas State University
139,"pH, CaCl2","pH,  1:2 0.01M CaCl2",pHcacl,"CMS, SSIR No. 42, 1972, page 60",8C1e,19,University of Florida
139,"pH, CaCl2","pH,  1:2 0.01M CaCl2",pHcacl,"CMS, SSIR No. 42, 1972, page 60",8C1e,22,The Ohio State University
139,"pH, CaCl2","pH,  1:2 0.01M CaCl2",pHcacl,"CMS, SSIR No. 42, 1972, page 60",8C1e,36,North Dakota State University
139,"pH, CaCl2","pH,  1:2 0.01M CaCl2",pHcacl,"CMS, SSIR No. 42, 1972, page 60",8C1e,37,University of Massachusetts 
141,"pH, 1:10 H2O","pH, 1:10 Water",pHh2o10,CMS,8C1a,36,North Dakota State University
141,"pH, 1:10 H2O","pH, 1:10 Water",pHh2o10,CMS,8C1a,2,NSSL CMS
153,Surface Area,"Surface Area, EGME",EGME,"CMS, SSIR No. 42, version 3, page 393",7D2,2,NSSL CMS
155,Surface Area,"Surface Area, ethylene glycol",SAEG,"CMS, SSIR No. 42, 1972, page 56",7D1,2,NSSL CMS
156,"Carbon, Total","Total Carbon, dry combustion, CO2 evolution I, gravimetric",TOTC,"CMS, SSIR No. 42, 1972, page 27",6A2a,9,Texas A&M University
156,"Carbon, Total","Total Carbon, dry combustion, CO2 evolution I, gravimetric",TOTC,"CMS, SSIR No. 42, 1972, page 27",6A2a,2,NSSL CMS
156,"Carbon, Total","Total Carbon, dry combustion, CO2 evolution I, gravimetric",TOTC,"CMS, SSIR No. 42, 1972, page 27",6A2a,36,North Dakota State University
156,"Carbon, Total","Total Carbon, dry combustion, CO2 evolution I, gravimetric",TOTC,"CMS, SSIR No. 42, 1972, page 27",6A2a,22,The Ohio State University
157,"Carbon, Total","Total Carbon, dry combustion, CO2 evolution II, gravimetric",TOTC,"CMS, SSIR No. 42, 1972, page 27",6A2b,35,University of Arkansas
157,"Carbon, Total","Total Carbon, dry combustion, CO2 evolution II, gravimetric",TOTC,"CMS, SSIR No. 42, 1972, page 27",6A2b,36,North Dakota State University
157,"Carbon, Total","Total Carbon, dry combustion, CO2 evolution II, gravimetric",TOTC,"CMS, SSIR No. 42, 1972, page 27",6A2b,2,NSSL CMS
159,"Carbon, Total","Total Carbon, dry combustion, CO2 evolution IV",TOTC,"CMS, SSIR No. 42, version 1, page 238",6A2d,20,University of California at Davis
159,"Carbon, Total","Total Carbon, dry combustion, CO2 evolution IV",TOTC,"CMS, SSIR No. 42, version 1, page 238",6A2d,2,NSSL CMS
160,"Carbon, Total","Total Carbon, dry combustion, CO2 evolution V",TOTC,"CMS, SSIR No. 42, version 3, page 223",6A2e,2,NSSL CMS
161,"Nitrogen, Total","Total Nitrogen, Kjeldahl digestion, ammonia distillation",TOTN,"CMS, SSIR No. 42, 1972, page 29",6B1a,2,NSSL CMS
161,"Nitrogen, Total","Total Nitrogen, Kjeldahl digestion, ammonia distillation",TOTN,"CMS, SSIR No. 42, 1972, page 29",6B1a,33,The Pennsylvania State University
161,"Nitrogen, Total","Total Nitrogen, Kjeldahl digestion, ammonia distillation",TOTN,"CMS, SSIR No. 42, 1972, page 29",6B1a,36,North Dakota State University
162,"Nitrogen, Total","Total Nitrogen, semimicro Kjeldahl, ammonia distillation",TOTN,"CMS, SSIR No. 42, 1972, page 29",6B2a,36,North Dakota State University
162,"Nitrogen, Total","Total Nitrogen, semimicro Kjeldahl, ammonia distillation",TOTN,"CMS, SSIR No. 42, 1972, page 29",6B2a,2,NSSL CMS
163,"Nitrogen, Total","Total Nitrogen, Kjeldahl digestion I, ammonia distillation, automatic titrator",TOTN,"CMS, SSIR No. 42, 1984, page 36",6B1b,2,NSSL CMS
164,"Nitrogen, Total","Total Nitrogen, Kjeldahl digestion II, ammonia steam distillation, automatic titrator",TOTN,"CMS, SSIR No. 42, 184, page 36",6B3a,2,NSSL CMS
164,"Nitrogen, Total","Total Nitrogen, Kjeldahl digestion II, ammonia steam distillation, automatic titrator",TOTN,"CMS, SSIR No. 42, 184, page 36",6B3a,18,Michigan Technological University
165,"Nitrogen, Total","Total Nitrogen, dry combustion, N2 Evolution",TOTN,"CMS, SSIR No. 42, version 3, page 227",6B4a,2,NSSL CMS
165,"Nitrogen, Total","Total Nitrogen, dry combustion, N2 Evolution",TOTN,"CMS, SSIR No. 42, version 3, page 227",6B4a,20,University of California at Davis
166,"Nitrogen, Total","Nitrogen, Kjeldahl Digestion III, Ammonia Steam Distillation",TOTN,CMS,6B5a,2,NSSL CMS
168,"Phosphorus, Total","Total Phosphorus, perchloric acid digestion",TotP,"CMS, SSIR No. 42, 1972, page 49",6S1a,2,NSSL CMS
168,"Phosphorus, Total","Total Phosphorus, perchloric acid digestion",TotP,"CMS, SSIR No. 42, 1972, page 49",6S1a,19,University of Florida
169,"Sulfur, Total","Sulfur, Total, SO2 evolution, KIO3 titration",TOTS,"CMS, SSIR No. 42, 1984, page 51",6R3a,2,NSSL CMS
170,"Sulfur, Total","Sulfur, Total, SO2 evolution, infrared I",TOTS,"CMS, SSIR No. 42, version 1, page 215",6R3b,2,NSSL CMS
177,"Water Retention, 15 Bar, <2mm, moist","Water Retention, 15 Bar, Pressure-Plate, <2mm, moist",H2O15bm<2,"CMS, SSIR No. 42, 1972, page 17",4B2b,2,NSSL CMS
184,"Water Retention, 0.33 Bar, clod","Water Retention, clod, 0.06, 0.1, 0.33, or 1 bar, pressure-plate extraction",H2O.33bclod,"CMS, SSIR No. 42, 1984, page 23",4B1c,2,NSSL CMS
184,"Water Retention, 0.33 Bar, clod","Water Retention, clod, 0.06, 0.1, 0.33, or 1 bar, pressure-plate extraction",H2O.33bclod,"CMS, SSIR No. 42, 1984, page 23",4B1c,10,University of Illinois
184,"Water Retention, 0.33 Bar, clod","Water Retention, clod, 0.06, 0.1, 0.33, or 1 bar, pressure-plate extraction",H2O.33bclod,"CMS, SSIR No. 42, 1984, page 23",4B1c,36,North Dakota State University
185,"Water Retention, 0.33 Bar, clod, rewet","Water Retention, 0.33 Bar, Pressure-Plate, clod, rewet",H2O.33bcrw,"CMS, SSIR No. 42, 1984, page 23",4B1e,2,NSSL CMS
187,"Water Retention, Field State","Water Retention, Field State, clod",H2OFSclod,"CMS, SSIR No. 42, 1972, page 17",4B4,2,NSSL CMS
187,"Water Retention, Field State","Water Retention, Field State, clod",H2OFSclod,"CMS, SSIR No. 42, 1972, page 17",4B4,18,Michigan Technological University
189,"Clay Mineralogy, X-ray Diffraction","X-ray Diffraction, Thin Film on Glass, Resin Pretreatment I",XRAY,CMS 7A2b,7A2b,2,NSSL CMS
190,"Clay Mineralogy, X-ray Diffraction","X-ray Diffraction, Thin Film on Glass, Resin Pretreatment II",XRAY,CMS,7A2i,2,NSSL CMS
190,"Clay Mineralogy, X-ray Diffraction","X-ray Diffraction, Thin Film on Glass, Resin Pretreatment II",XRAY,CMS,7A2i,30,West Virginia University
192,Derived,"Ratio, to Total Clay - 8D1",none,CMS,8D1,2,NSSL CMS
193,Derived,"Ratio, to Total Clay - 8D1b",none,CMS,8D1b,2,NSSL CMS
194,"Calcium Carbonate Equivalent, 2-20mm","Calcium Carbonate Equivalent, HCl, 2-20mm",CACO3_20,CMS,6E4,2,NSSL CMS
195,"KCl Extract, Al","Cations, Potassium Chloride Extractable, 1 N, automatic extractor, ICP II (6G9c)",AL_KCL,"CMS, SSIR No. 42, version 3, page 259",6G9c,2,NSSL CMS
195,"KCl Extract, Al","Cations, Potassium Chloride Extractable, 1 N, automatic extractor, ICP II (6G9c)",AL_KCL,"CMS, SSIR No. 42, version 3, page 259",6G9c,30,West Virginia University
195,"KCl Extract, Al","Cations, Potassium Chloride Extractable, 1 N, automatic extractor, ICP II (6G9c)",AL_KCL,"CMS, SSIR No. 42, version 3, page 259",6G9c,17,University of Missouri
196,"KCl Extract, Al","Cations, Potassium Chloride Extractable, 1N, automatic extractor, AA II (6G9d)",AL_KCL,"CMS, SSIR No. 42, version 3, page 265",6G9d,2,NSSL CMS
197,"KCl Extract, Al","Cations, Potassium Chloride Extractable, 1 N, automatic extractor, ICP I (6G9b)",AL_KCL,"CMS, SSIR No. 42, version 3, page 549",6G9b,2,NSSL CMS
198,"CEC and Cations, Routine","CEC and Cations, NH4OAc, 2M KCl displacement",CECdNH4,"CMS, duplicate SSIR No. 42, version 4, page 173",4B1a1a,1,SSL LIMS Version 1.0
198,"CEC and Cations, Routine","CEC and Cations, NH4OAc, 2M KCl displacement",CECdNH4,"CMS, duplicate SSIR No. 42, version 4, page 173",4B1a1a,30,West Virginia University
203,New Zealand Phosphorus Retention,"Phosphorus, New Zealand P Retention I",NZPRET,CMS,6S4,2,NSSL CMS
204,New Zealand Phosphorus Retention,"Phosphorus, New Zealand P Retention II",NZPRET,CMS,6S4b,2,NSSL CMS
205,New Zealand Phosphorus Retention,"Phosphorus, New Zealand P Retention III",NZPRET,CMS,6S4c,2,NSSL CMS
206,New Zealand Phosphorus Retention,"Phosphorus, New Zealand P Retention IV",NZPRET,CMS,6S4d,2,NSSL CMS
207,New Zealand Phosphorus Retention,"Phosphorus, New Zealand P Retention V",NZPRET,CMS,6S4e,2,NSSL CMS
209,"Phosphorus, Bray 1","Phosphorus, Bray 1",BRAYP,CMS,6S3b,2,NSSL CMS
210,"Phosphorus, Bray 1","Phosphorus, Bray 1",BRAYP,CMS,6S3d,2,NSSL CMS
211,"Phosphorus, Bray 1","Phosphorus, Bray 1",BRAYP,CMS,6S3e,2,NSSL CMS
212,"Phosphorus, Bray 1","Phosphorus, Bray 1",BRAYP,CMS,6S3f,2,NSSL CMS
213,"pH, NaF","pH, 1N NaF, moist",PHNAF,"CMS, moist",8C1i,2,NSSL CMS
214,"Clay Mineralogy, TGA","Thermogravimetric Analysis, TGA III",TGA51,CMS 7A4c,7A4c,2,NSSL CMS
216,Organic Carbon,"Organic Carbon, acid dichromate digestion, FeSO4 titration, automatic titrator, moist",WBC2,CMS,6A1d,2,NSSL CMS
217,"Sulfur, Total","Total Sulfur, SO2 evolution, infrared II",TOTS,"SSIR No. 42, version 3, page 317",6R3c,2,NSSL CMS
219,"Clay Mineralogy, DSC","Differential Scanning Calorimetry, Thermal Analyzer II",DSC910S,CMS,7A6b,2,NSSL CMS
220,"Clay Mineralogy, TGA",Thermogravimetric Analysis,TGA51,CMS 7A4b,7A4b,2,NSSL CMS
227,"Soluble Anions, CO3","Carbonate, Saturated Paste and Soluble Salts, titration",SatAn1,CMS,6I1b,2,NSSL CMS
228,Soluble Anions,"Chloride, Saturation Extraction, Anion Chromatograph",SatAn2,CMS,6K1c,2,NSSL CMS
229,Soluble Anions,"Chloride, Saturation Extraction, Anion Chromatograph, Ionic Suppressor",SatAn3,CMS,6K1d,2,NSSL CMS
230,Soluble Anions,"Chloride, Saturation Extraction, Flow Injection, Automated Ion Analyzer",SatAn4,CMS,6K1e,2,NSSL CMS
231,Soluble Anions,"Chloride, Saturation Extraction, Anion Chromatograph, Electronic Ion Suppressor",SatAn5,CMS,6K1f,2,NSSL CMS
233,Saturated Paste and Soluble Salts,"Saturated Paste and Soluble Salts, EC cap rise",SATPEC2,CMS,8A1a,2,NSSL CMS
233,Saturated Paste and Soluble Salts,"Saturated Paste and Soluble Salts, EC cap rise",SATPEC2,CMS,8A1a,36,North Dakota State University
233,Saturated Paste and Soluble Salts,"Saturated Paste and Soluble Salts, EC cap rise",SATPEC2,CMS,8A1a,37,University of Massachusetts 
242,Derived,"derived AL_SAT, 5G1b",none,CMS,5G1b,2,NSSL CMS
243,Derived,"derived AL_SAT, 5G1",none,CMS,5G1,2,NSSL CMS
244,Derived,"derived BSECAT, 5C3b",none,CMS,5C3b,2,NSSL CMS
245,Derived,"derived BSECAT, 5C3",none,CMS,5C3,2,NSSL CMS
246,Derived,"derived BSESAT, 5C1",none,CMS,5C1,2,NSSL CMS
247,Derived,"derived CEC_SUM, 5A3c",none,CMS,5A3c,2,NSSL CMS
248,Derived,"derived CEC_SUM, 5A3a",none,CMS,5A3a,2,NSSL CMS
249,Derived,"derived COLE, 4D1",none,CMS,4D1,2,NSSL CMS
250,Derived,"derived ECEC, 5A3d",none,CMS,5A3d,2,NSSL CMS
251,Derived,"derived ECEC, 5A3b",none,CMS,5A3b,2,NSSL CMS
252,Derived,"derived est total salts, 8D5",none,CMS,8D5,2,NSSL CMS
253,Derived,"derived NA_EXCH, 5D2",none,CMS,5D2,2,NSSL CMS
254,Derived,"derived SAR, 5E",none,CMS,5E,2,NSSL CMS
255,Derived,"derived WRD, 4C1b",none,CMS,4C1b,2,NSSL CMS
256,Derived,"derived WRD, 4C1",none,CMS,4C1,2,NSSL CMS
257,Unknown,Unknown,none,CMS,NK,2,NSSL CMS
257,Unknown,Unknown,none,CMS,NK,16,Auburn University
257,Unknown,Unknown,none,CMS,NK,33,The Pennsylvania State University
257,Unknown,Unknown,none,CMS,NK,9,Texas A&M University
258,Acid Oxalate extraction,"Cations, Acid Oxalate Extractable, Aluminum",OXAL,CMS,6G12,2,NSSL CMS
259,Acid Oxalate extraction,"Cations, Acid Oxalate Extractable, Iron",OXAL,CMS,6C9a,2,NSSL CMS
260,Acid Oxalate extraction,"Cations, Acid Oxalate Extractable, Silica",OXAL,CMS,6V2b,2,NSSL CMS
261,Acid Oxalate extraction,"Cations, Acid Oxalate Extractable, Aluminum",OXAL,"CMS, SSIR No. 42, version 3, page ",6G12b,2,NSSL CMS
262,Acid Oxalate extraction,"Cations, Acid Oxalate Extractable, Iron",OXAL,"CMS, SSIR No. 42, version 3, page ",6C9b,2,NSSL CMS
263,Acid Oxalate extraction,"Cations, Acid Oxalate Extractable, Silica",OXAL,"CMS, SSIR No. 42, version 3, page ",6V2,2,NSSL CMS
265,Acid Oxalate extraction,"Cations, Acid Oxalate Extractable, Iron",OXAL,"CMS, SSIR No. 42, version 3, page 279",6C9c,2,NSSL CMS
266,Acid Oxalate extraction,"Cations, Acid Oxalate Extractable, Silica",OXAL,"CMS, SSIR No. 42, version 3, page 279",6V2c,2,NSSL CMS
267,Acid Oxalate extraction,"Cations, Acid Oxalate Extractable, Manganese",OXAL,"CMS, SSIR No. 42, version 3, page 279",6D5b,20,University of California at Davis
267,Acid Oxalate extraction,"Cations, Acid Oxalate Extractable, Manganese",OXAL,"CMS, SSIR No. 42, version 3, page 279",6D5b,2,NSSL CMS
268,Acid Oxalate extraction,"Cations, Acid Oxalate Extractable, Phosphorus",OXAL,"CMS, SSIR No. 42, version 3, page 279",6S8a,2,NSSL CMS
269,Organic Carbon,"Organic Carbon, 6A1",unknown,CMS,6A1,20,University of California at Davis
269,Organic Carbon,"Organic Carbon, 6A1",unknown,CMS,6A1,2,NSSL CMS
269,Organic Carbon,"Organic Carbon, 6A1",unknown,CMS,6A1,36,North Dakota State University
269,Organic Carbon,"Organic Carbon, 6A1",unknown,CMS,6A1,26,University of Minnesota
269,Organic Carbon,"Organic Carbon, 6A1",unknown,CMS,6A1,40,Iowa State University
270,Organic Carbon,"Organic Carbon, Peroxide Digestion, Weight Loss",unknown,"CMS, SSIR No. 1, 1972, page 29",6A3a,2,NSSL CMS
271,"Bulk Density, <2mm Fraction, Air-dry","Bulk Density, Air-Dry",unknown,"SSIR No. 1, version 1974, page 15",4A1b,2,NSSL CMS
271,"Bulk Density, <2mm Fraction, Air-dry","Bulk Density, Air-Dry",unknown,"SSIR No. 1, version 1974, page 15",4A1b,20,University of California at Davis
272,"Bulk Density, <2mm Fraction, 1/3 Bar","Bulk Density, 30-cm Absorption",unknown,"SSIR No. 1, version 1974, page 15",4A1c,2,NSSL CMS
273,"Bulk Density, <2mm Fraction, 1/3 Bar","Bulk Density, 1/3-Bar Desorption I",unknown,"SSIR No. 42, version 3, page 121",4A1d,2,NSSL CMS
273,"Bulk Density, <2mm Fraction, 1/3 Bar","Bulk Density, 1/3-Bar Desorption I",unknown,"SSIR No. 42, version 3, page 121",4A1d,36,North Dakota State University
274,"Bulk Density, <2mm Fraction, 1/3 Bar","Bulk Density, 1/3-Bar Desorption II",unknown,"SSIR No. 1, version 1974, page 15",4A1e,2,NSSL CMS
274,"Bulk Density, <2mm Fraction, 1/3 Bar","Bulk Density, 1/3-Bar Desorption II",unknown,"SSIR No. 1, version 1974, page 15",4A1e,10,University of Illinois
275,"Bulk Density, <2mm Fraction, 1/3 Bar","Bulk Density, 1/3-Bar Desorption III",unknown,"SSIR No. 1, version 1974, page 15",4A1f,2,NSSL CMS
276,"Bulk Density, <2 mm Fraction, 1/10 Bar","Bulk Density, 1/10-Bar Desorption",unknown,"SSIR No. 1, version 1974, page 15",4A1g,2,NSSL CMS
277,"Bulk Density, <2mm Fraction, Ovendry","Bulk Density, Oven-Dry",unknown,"SSIR No. 42, version 3, page 127",4A1h,2,NSSL CMS
277,"Bulk Density, <2mm Fraction, Ovendry","Bulk Density, Oven-Dry",unknown,"SSIR No. 42, version 3, page 127",4A1h,10,University of Illinois
277,"Bulk Density, <2mm Fraction, Ovendry","Bulk Density, Oven-Dry",unknown,"SSIR No. 42, version 3, page 127",4A1h,20,University of California at Davis
277,"Bulk Density, <2mm Fraction, Ovendry","Bulk Density, Oven-Dry",unknown,"SSIR No. 42, version 3, page 127",4A1h,33,The Pennsylvania State University
277,"Bulk Density, <2mm Fraction, Ovendry","Bulk Density, Oven-Dry",unknown,"SSIR No. 42, version 3, page 127",4A1h,36,North Dakota State University
278,"Water Retention, 0.1 or 0.33 bar, soil pieces","Water Retention, 0.1 or 0.33 bar, Soil Pieces",unknown,"SSIR No. 1, version 1974, page 16",4B1b,2,NSSL CMS
279,"Water Retention, cores, 0.06, 0.1, 0.33, or 1 Bar, pressure-plate extraction","Water Retention, cores, 0.06, 0.1, 0.33, or 1 bar, pressure-plate extraction",unknown,"SSIR No. 1, version 1974, page 17",4B1d,2,NSSL CMS
279,"Water Retention, cores, 0.06, 0.1, 0.33, or 1 Bar, pressure-plate extraction","Water Retention, cores, 0.06, 0.1, 0.33, or 1 bar, pressure-plate extraction",unknown,"SSIR No. 1, version 1974, page 17",4B1d,25,University of Kentucky
280,"Water Retention, Water Content <2mm, 1 or 2 Bar, moist","Water Retention, Water Content <2mm, 1 or 2 Bar, moist",unknown,no desc,4B1f,2,NSSL CMS
281,"Water Retention, Sand-Table Absorption","Water Retention, Sand-Table Absorption",unknown,"SSIR No. 1, version 1974, page 17",4B3,2,NSSL CMS
282,"Aggregate Stability, moist","Aggregate Stability, Wet Sieving, 1-2 mm, moist",unknown,no desc,4G1b,2,NSSL CMS
283,Atterberg Limits moist,"Atterberg Limits, NSMC Lab, moist",unknown,no desc,4F1b,2,NSSL CMS
284,"Calcium Carbonate Equivalent, <2mm","Calcium Carbonate, HCl Treatment",CACO3,"SSIR No. 42, version 3, page 271",6E1,2,NSSL CMS
285,"Calcium Carbonate Equivalent, <2mm","Calcium Carbonate, Sensitive Qualitative Method, Visual, Gas Bubbles",CACO3,"SSIR No. 1, version 1974, page 35",6E2a,2,NSSL CMS
286,"Calcium Carbonate Equivalent, <2mm","Calcium Carbonate, HCl Treatment, Titrimetric",CACO3,"SSIR No. 1, version 1974, page 34",6E1e,2,NSSL CMS
286,"Calcium Carbonate Equivalent, <2mm","Calcium Carbonate, HCl Treatment, Titrimetric",CACO3,"SSIR No. 1, version 1974, page 34",6E1e,24,Kansas State University
286,"Calcium Carbonate Equivalent, <2mm","Calcium Carbonate, HCl Treatment, Titrimetric",CACO3,"SSIR No. 1, version 1974, page 34",6E1e,19,University of Florida
286,"Calcium Carbonate Equivalent, <2mm","Calcium Carbonate, HCl Treatment, Titrimetric",CACO3,"SSIR No. 1, version 1974, page 34",6E1e,10,University of Illinois
286,"Calcium Carbonate Equivalent, <2mm","Calcium Carbonate, HCl Treatment, Titrimetric",CACO3,"SSIR No. 1, version 1974, page 34",6E1e,15,Purdue University
286,"Calcium Carbonate Equivalent, <2mm","Calcium Carbonate, HCl Treatment, Titrimetric",CACO3,"SSIR No. 1, version 1974, page 34",6E1e,21,Virgina Tech
286,"Calcium Carbonate Equivalent, <2mm","Calcium Carbonate, HCl Treatment, Titrimetric",CACO3,"SSIR No. 1, version 1974, page 34",6E1e,36,North Dakota State University
287,"Extractable Acidity, BaCl2-TEA","Extractable Acidity, BaCl2-Triethanolamine II, Back-Titration with HCl",EXTRACID,"CMS, SSIR No. 1, 1972, page 38",6H2a,35,University of Arkansas
287,"Extractable Acidity, BaCl2-TEA","Extractable Acidity, BaCl2-Triethanolamine II, Back-Titration with HCl",EXTRACID,"CMS, SSIR No. 1, 1972, page 38",6H2a,22,The Ohio State University
287,"Extractable Acidity, BaCl2-TEA","Extractable Acidity, BaCl2-Triethanolamine II, Back-Titration with HCl",EXTRACID,"CMS, SSIR No. 1, 1972, page 38",6H2a,24,Kansas State University
287,"Extractable Acidity, BaCl2-TEA","Extractable Acidity, BaCl2-Triethanolamine II, Back-Titration with HCl",EXTRACID,"CMS, SSIR No. 1, 1972, page 38",6H2a,2,NSSL CMS
288,"Extractable Acidity, BaCl2-TEA","Extractable Acidity, KCl-Triethanolamine II, Back-Titration with NaOH",EXTRACID,"CMS, SSIR No. 1, 1972, page 38",6H3a,2,NSSL CMS
288,"Extractable Acidity, BaCl2-TEA","Extractable Acidity, KCl-Triethanolamine II, Back-Titration with NaOH",EXTRACID,"CMS, SSIR No. 1, 1972, page 38",6H3a,13,University of Idaho
289,Total Elemental Analysis,"Total Analysis, Na2CO3 Fusion",TOTANAL,"SSIR No. 42, version 3, page 667",7C1,2,NSSL CMS
290,Mineral Content,Mineral Content,MINIGNITE,"SSIR No. 42, version 3, page 431",8F,2,NSSL CMS
291,"pH, KCl","pH, 1:1 1N KCl, moist",PHKCL,"CMS, SSIR No. 42, version 3, page 419, moist",8C1k,2,NSSL CMS
292,"pH, Routine","pH, Routine, 1:1 Water and 1:2 0.01M CaCl2, moist",PHROUT,"SSIR No. 42, version 3, page 415, moist",8C1j,2,NSSL CMS
293,"CEC and Cations, NH4OAc, pH 7.0","CEC, NH4OAc, pH 7.0, Buchner funnel, Displacement Distillation",CECNH4b2,"CMS, SSIR No. 42, 1972, page 22",5A1b,2,NSSL CMS
294,"CEC and Cations, NH4OAc, pH 7.0","CEC, NH4OAc, pH 7.0,  automatic extractor, steam distillation II",CECNH4aes2,"CMS, SSIR No. 42, 1984, page 30",5A8c,2,NSSL CMS
295,"CEC and Cations, NH4OAc, pH 7.0","CEC, NH4OAc, pH 7.0,  automatic extractor, steam distillation I, moist",CECNH4aesm1,"CMS, SSIR No. 42, 1984, page 30",5A8e,2,NSSL CMS
296,"Extractable Cations, Ca","Calcium, NH4OAc Extraction",CaExCat1,"CMS, SSIR No. 1, 1972, page 42",6N2,2,NSSL CMS
296,"Extractable Cations, Ca","Calcium, NH4OAc Extraction",CaExCat1,"CMS, SSIR No. 1, 1972, page 42",6N2,10,University of Illinois
296,"Extractable Cations, Ca","Calcium, NH4OAc Extraction",CaExCat1,"CMS, SSIR No. 1, 1972, page 42",6N2,19,University of Florida
296,"Extractable Cations, Ca","Calcium, NH4OAc Extraction",CaExCat1,"CMS, SSIR No. 1, 1972, page 42",6N2,17,University of Missouri
296,"Extractable Cations, Ca","Calcium, NH4OAc Extraction",CaExCat1,"CMS, SSIR No. 1, 1972, page 42",6N2,25,University of Kentucky
296,"Extractable Cations, Ca","Calcium, NH4OAc Extraction",CaExCat1,"CMS, SSIR No. 1, 1972, page 42",6N2,35,University of Arkansas
296,"Extractable Cations, Ca","Calcium, NH4OAc Extraction",CaExCat1,"CMS, SSIR No. 1, 1972, page 42",6N2,36,North Dakota State University
297,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, EDTA-Alcohol Separation",CaExCat2,"CMS, SSIR No. 1, 1972, page 42",6N2a,21,Virgina Tech
297,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, EDTA-Alcohol Separation",CaExCat2,"CMS, SSIR No. 1, 1972, page 42",6N2a,22,The Ohio State University
297,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, EDTA-Alcohol Separation",CaExCat2,"CMS, SSIR No. 1, 1972, page 42",6N2a,25,University of Kentucky
297,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, EDTA-Alcohol Separation",CaExCat2,"CMS, SSIR No. 1, 1972, page 42",6N2a,2,NSSL CMS
298,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, Oxalate-Permanganate I",CaExCat3,"CMS, SSIR No. 1, 1972, page 42",6N2b,2,NSSL CMS
298,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, Oxalate-Permanganate I",CaExCat3,"CMS, SSIR No. 1, 1972, page 42",6N2b,36,North Dakota State University
299,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, Oxalate-Permanganate II",CaExCat4,"CMS, SSIR No. 1, 1972, page 43",6N2c,2,NSSL CMS
300,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, Oxalate-Cerate",CaExCat5,"CMS, SSIR No. 1, 1972, page 43",6N2d,2,NSSL CMS
301,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, Atomic Absorption I",CaExCat6,"CMS, SSIR No. 42, version 3, page 309",6N2e,2,NSSL CMS
301,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, Atomic Absorption I",CaExCat6,"CMS, SSIR No. 42, version 3, page 309",6N2e,20,University of California at Davis
301,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, Atomic Absorption I",CaExCat6,"CMS, SSIR No. 42, version 3, page 309",6N2e,9,Texas A&M University
301,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, Atomic Absorption I",CaExCat6,"CMS, SSIR No. 42, version 3, page 309",6N2e,13,University of Idaho
301,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, Atomic Absorption I",CaExCat6,"CMS, SSIR No. 42, version 3, page 309",6N2e,15,Purdue University
301,"Extractable Cations, Ca","Calcium, NH4OAc Extraction, Atomic Absorption I",CaExCat6,"CMS, SSIR No. 42, version 3, page 309",6N2e,16,Auburn University
