dbo,Major Elements,k_mjelm,7,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elements,mg_mjelm,8,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elements,mn_mjelm,9,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elements,na_mjelm,10,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elements,p_mjelm,11,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elements,si_mjelm,12,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elements,sr_mjelm,13,NULL,decimal,NULL,10,10,3,NULL
dbo,Major Elements,ti_mjelm,14,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elements,zr_mjelm,15,NULL,decimal,NULL,8,10,0,NULL
dbo,sysdiagrams,name,1,NULL,nvarchar,128,NULL,NULL,NULL,NULL
dbo,sysdiagrams,principal_id,2,NULL,int,NULL,10,10,0,NULL
dbo,sysdiagrams,diagram_id,3,NULL,int,NULL,10,10,0,NULL
dbo,sysdiagrams,version,4,NULL,int,NULL,10,10,0,NULL
dbo,sysdiagrams,definition,5,NULL,varbinary,-1,NULL,NULL,NULL,NULL
dbo,Major Elementsnoneg,natural_key,1,NULL,varchar,10,NULL,NULL,NULL,NULL
dbo,Major Elementsnoneg,result_source_key,2,NULL,int,NULL,10,10,0,NULL
dbo,Major Elementsnoneg,prep_code,3,NULL,varchar,64,NULL,NULL,NULL,NULL
dbo,Major Elementsnoneg,al_mjelm,4,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elementsnoneg,ca_mjelm,5,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elementsnoneg,fe_mjelm,6,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elementsnoneg,k_mjelm,7,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elementsnoneg,mg_mjelm,8,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elementsnoneg,mn_mjelm,9,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elementsnoneg,na_mjelm,10,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elementsnoneg,p_mjelm,11,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elementsnoneg,si_mjelm,12,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elementsnoneg,sr_mjelm,13,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elementsnoneg,ti_mjelm,14,NULL,decimal,NULL,8,10,0,NULL
dbo,Major Elementsnoneg,zr_mjelm,15,NULL,decimal,NULL,8,10,0,NULL
dbo,Major_And_Trace_Elements_Oxides_List,natural_key,1,NULL,varchar,10,NULL,NULL,NULL,NULL
dbo,Major_And_Trace_Elements_Oxides_List,result_key,2,NULL,int,NULL,10,10,0,NULL
dbo,Major_And_Trace_Elements_Oxides_List,result_type,3,NULL,varchar,128,NULL,NULL,NULL,NULL
dbo,Major_And_Trace_Elements_Oxides_List,result_source_key,4,NULL,int,NULL,10,10,0,NULL
dbo,Major_And_Trace_Elements_Oxides_List,analyte_key,5,NULL,int,NULL,10,10,0,NULL
dbo,Major_And_Trace_Elements_Oxides_List,prep_key,6,NULL,int,NULL,10,10,0,NULL
dbo,Major_And_Trace_Elements_Oxides_List,result_value,7,NULL,varchar,128,NULL,NULL,NULL,NULL
dbo,Major_And_Trace_Elements_Oxides_List,procedure_key,8,NULL,int,NULL,10,10,0,NULL
dbo,Major_And_Trace_Elements_Oxides_List,analyzed_size_frac,9,NULL,varchar,128,NULL,NULL,NULL,NULL
dbo,Major_And_Trace_Elements_Oxides_List,analyte_abbrev,10,NULL,varchar,25,NULL,NULL,NULL,NULL
dbo,Major_And_Trace_Elements_Oxides_List,prep_abbrev,11,NULL,varchar,64,NULL,NULL,NULL,NULL
dbo,Major_And_Trace_Elements_Oxides_List,prep_code,12,NULL,varchar,64,NULL,NULL,NULL,NULL
dbo,Major_And_Trace_Elements_Oxides_List,analyte_format,13,NULL,varchar,20,NULL,NULL,NULL,NULL
