TableOnFileGroup	Schema Name	Table Name	Data Element	OrdinalPosition	Data Type	Max Len	Prec	Scale	Identity	NOT NULL	References	Default Value
PRIMARY	dbo	area	area_type	2	varchar	128	          	          		NOT NULL		
PRIMARY	dbo	area	area_sub_type	3	varchar	128	          	          				
PRIMARY	dbo	area	parent_area_key	4	int	          	10	0			area(area_key)	
PRIMARY	dbo	area	parent_org_key	5	int	          	10	0				
PRIMARY	dbo	area	area_code	6	varchar	20	          	          				
PRIMARY	dbo	area	area_name	7	varchar	135	          	          		NOT NULL		
PRIMARY	dbo	area	area_abbrev	8	varchar	20	          	          				
PRIMARY	dbo	area	area_desc	9	varchar	2000	          	          				
NULL	dbo	Bairdslist	natural_key	1	varchar	10	          	          		NOT NULL		
NULL	dbo	Bairdslist	result_key	2	int	          	10	0		NOT NULL		
NULL	dbo	Bairdslist	result_type	3	varchar	128	          	          		NOT NULL		
NULL	dbo	Bairdslist	result_source_key	4	int	          	10	0		NOT NULL		
NULL	dbo	Bairdslist	analyte_key	5	int	          	10	0		NOT NULL		
NULL	dbo	Bairdslist	prep_key	6	int	          	10	0				
NULL	dbo	Bairdslist	result_value	7	varchar	128	          	          				
NULL	dbo	Bairdslist	procedure_key	8	int	          	10	0				
NULL	dbo	Bairdslist	analyzed_size_frac	9	varchar	128	          	          				
NULL	dbo	Bairdslist	analyte_abbrev	10	varchar	25	          	          		NOT NULL		
NULL	dbo	Bairdslist	prep_abbrev	11	varchar	64	          	          				
NULL	dbo	Bairdslist	prep_code	12	varchar	64	          	          				
NULL	dbo	Bairdslist	analyte_format	13	varchar	20	          	          		NOT NULL		
NULL	dbo	Bairdslist	site_key	14	int	          	10	0				
NULL	dbo	Bairdslist	layer_key	15	int	          	10	0		NOT NULL		
PRIMARY	dbo	benchmark	SERIESNAME	1	varchar	25	          	          		NOT NULL		
PRIMARY	dbo	bridge_analyte_ss	bridge_analyte_ss_key	1	int	          	10	0	Y	NOT NULL		
PRIMARY	dbo	bridge_analyte_ss	source_system_key	2	int	          	10	0		NOT NULL	source_system(source_system_key)	
PRIMARY	dbo	bridge_analyte_ss	analyte_key	3	int	          	10	0		NOT NULL	analyte(analyte_key)	
PRIMARY	dbo	bridge_analyte_ss	source_system_id	4	varchar	128	          	          				
PRIMARY	dbo	bridge_analyte_ss	analyte_type	5	varchar	128	          	          				
PRIMARY	dbo	bridge_instr_set_ss	bridge_instr_set_ss_key	1	int	          	10	0	Y	NOT NULL		
PRIMARY	dbo	bridge_instr_set_ss	source_system_key	2	int	          	10	0		NOT NULL	source_system(source_system_key)	
PRIMARY	dbo	bridge_instr_set_ss	instr_set_key	3	int	          	10	0		NOT NULL	instrument_set(instr_set_key)	
PRIMARY	dbo	bridge_instr_set_ss	source_system_id	4	varchar	128	          	          		NOT NULL		
PRIMARY	dbo	bridge_layer_ss	bridge_layer_ss_key	1	int	          	10	0	Y	NOT NULL		
PRIMARY	dbo	bridge_layer_ss	source_system_key	2	int	          	10	0		NOT NULL	source_system(source_system_key)	
PRIMARY	dbo	bridge_layer_ss	layer_key	3	int	          	10	0		NOT NULL	layer(layer_key)	
PRIMARY	dbo	bridge_layer_ss	source_system_id	4	varchar	128	          	          				
PRIMARY	dbo	bridge_pedon_ss	bridge_pedon_ss_key	1	int	          	10	0	Y	NOT NULL		
PRIMARY	dbo	bridge_pedon_ss	source_system_key	2	int	          	10	0		NOT NULL	source_system(source_system_key)	
PRIMARY	dbo	bridge_pedon_ss	pedon_key	3	int	          	10	0		NOT NULL	pedon(pedon_key)	
PRIMARY	dbo	bridge_pedon_ss	source_system_id	4	varchar	128	          	          				
PRIMARY	dbo	bridge_prep_ss	bridge_prep_ss_key	1	int	          	10	0	Y	NOT NULL		
PRIMARY	dbo	bridge_prep_ss	source_system_key	2	int	          	10	0		NOT NULL	source_system(source_system_key)	
PRIMARY	dbo	bridge_prep_ss	prep_key	3	int	          	10	0		NOT NULL	preparation(prep_key)	
PRIMARY	dbo	bridge_prep_ss	source_system_id	4	varchar	128	          	          				
PRIMARY	dbo	bridge_proced_ss	bridge_proced_ss_key	1	int	          	10	0	Y	NOT NULL		
