TableOnFileGroup,Schema Name,Table Name,COLUMN_NAME2,column_length,Data Element,OrdinalPosition,Data Type,Max Len,Prec,Scale,Identity,NOT NULL,References,Default Value
FG1,dbo,combine_nasis_ncss,corr_taxceactcl,15,corr_taxceactcl,37,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxreaction,16,corr_taxreaction,38,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxtempcl,14,corr_taxtempcl,39,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxmoistscl,16,corr_taxmoistscl,40,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxtempregime,18,corr_taxtempregime,41,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxminalogy,16,corr_taxminalogy,42,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_taxother,13,corr_taxother,43,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,corr_osdtypelocflag,19,corr_osdtypelocflag,44,bit,          ,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_name,8,SSL_name,45,varchar,60,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_class_type,14,SSL_class_type,46,varchar,128,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_classdate,13,SSL_classdate,47,datetime,          ,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_classification_name,23,SSL_classification_name,48,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxorder,12,SSL_taxorder,49,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxsuborder,15,SSL_taxsuborder,50,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxgrtgroup,15,SSL_taxgrtgroup,51,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxsubgrp,13,SSL_taxsubgrp,52,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxpartsize,15,SSL_taxpartsize,53,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxpartsizemod,18,SSL_taxpartsizemod,54,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxceactcl,14,SSL_taxceactcl,55,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxreaction,15,SSL_taxreaction,56,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxtempcl,13,SSL_taxtempcl,57,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxmoistscl,15,SSL_taxmoistscl,58,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxtempregime,17,SSL_taxtempregime,59,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxminalogy,15,SSL_taxminalogy,60,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_taxother,12,SSL_taxother,61,varchar,120,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,SSL_osdtypelocflag,18,SSL_osdtypelocflag,62,bit,          ,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,siteiid,7,siteiid,63,int,          ,10,0,,,,
FG1,dbo,combine_nasis_ncss,usiteid,7,usiteid,64,varchar,60,          ,          ,,NOT NULL,,
FG1,dbo,combine_nasis_ncss,site_obsdate,12,site_obsdate,65,datetime,          ,          ,          ,,,,
FG1,dbo,combine_nasis_ncss,latitude_decimal_degrees,24,latitude_decimal_degrees,66,float,          ,53,          ,,,,
